1,Android,Activity,Activity is a single screen representing the UI.,Basic
2,Android,Intent,Intents are messaging objects for component communication.,Basic
3,Android,Lifecycle,The states an app transitions through like onCreate.,Hard
4,Android,Manifest,The XML file that defines app permissions and structure.,Intermediate
5,Android,Fragment,A modular portion of an activity UI and behavior.,Intermediate
6,Database,SQL,Structured Query Language used for managing RDBMS.,Basic
7,Database,Firebase,Google's cloud-based NoSQL database platform.,Basic
8,Database,Normalization,Process of organizing data to reduce redundancy.,Hard
9,Database,Primary Key,A unique identifier for each record in a table.,Basic
10,Database,Schema,The formal structure and design of a database.,Intermediate
11,Artificial Intelligence,TuringTest,A test to check if a machine can think like a human.,Basic
12,Artificial Intelligence,Heuristics,Problem-solving techniques that find a quick solution.,Intermediate
13,Machine Learning,Supervised,Learning from a labeled dataset with known outputs.,Basic
14,Machine Learning,Unsupervised,Finding hidden patterns in data without pre-existing labels.,Basic
15,Artificial Intelligence,ExpertSystem,A system that mimics human decision-making in a field.,Intermediate
16,Android,Service,Component for performing long-running tasks in background.,Hard
17,Android,Adapter,Bridge between data sources and UI components.,Intermediate
18,Android,Layout,The visual structure and design of a user interface.,Basic
19,Database,Index,Improves the speed of data retrieval operations.,Hard
20,Database,Join,Combines rows from two or more tables based on columns.,Intermediate
21,Android,BroadcastReceiver,Component that responds to system-wide broadcast announcements.,Hard
22,Android,ContentProvider,Manages access to a structured set of data for other apps.,Hard
23,Android,ViewModel,Designed to store and manage UI-related data in a lifecycle-aware way.,Intermediate
24,Android,LiveData,An observable data holder class that is lifecycle-aware.,Intermediate
25,Android,Room,A persistence library that provides an abstraction layer over SQLite.,Hard
26,Android,DataBinding,Allows you to bind UI components in layouts to data sources.,Intermediate
27,Android,WorkManager,API to schedule deferrable, asynchronous tasks even if app exits.,Hard
28,Android,View,The basic building block for user interface components.,Basic
29,Android,ViewGroup,A special view that can contain other views (layouts).,Basic
30,Android,Widget,Reusable interactive elements like buttons and checkboxes.,Basic
31,Database,Foreign Key,A field in one table that uniquely identifies a row of another table.,Intermediate
32,Database,Constraint,Rules enforced on data columns to ensure integrity.,Intermediate
33,Database,Transaction,A sequence of operations performed as a single logical unit.,Hard
34,Database,ACID,Properties (Atomicity, Consistency, Isolation, Durability) for reliability.,Hard
35,Database,NoSQL,Non-relational database for unstructured or distributed data.,Basic
36,Database,MongoDB,A popular document-oriented NoSQL database system.,Basic
37,Database,DDL,Data Definition Language used to define database structure.,Basic
38,Database,DML,Data Manipulation Language used for managing data within objects.,Basic
39,Database,StoredProcedure,A prepared SQL code that you can save and reuse.,Hard
40,Database,View,A virtual table based on the result-set of an SQL statement.,Intermediate
41,SoftEng,Cohesion,The degree to which elements of a module belong together.,Hard
42,SoftEng,Coupling,The level of interdependence between software modules.,Hard
43,SoftEng,UnitTesting,Testing individual components to ensure they work correctly.,Basic
44,SoftEng,IntegrationTesting,Testing combined parts of an application to see if they work together.,Intermediate
45,SoftEng,SystemTesting,Testing the complete and integrated software product.,Intermediate
46,SoftEng,BetaTesting,Final testing performed by end users before release.,Basic
47,SoftEng,Maintenance,The process of modifying software after it has been delivered.,Basic
48,SoftEng,FeasibilityStudy,Analyzing if a project is technically and financially possible.,Basic
49,SoftEng,Requirements,The needs and conditions to be met for a new product.,Basic
50,SoftEng,DFD,Data Flow Diagram showing how data moves through a system.,Intermediate
51,Android,Gradle,An advanced build toolkit that manages dependencies.,Intermediate
52,Android,APK,Android Package Kit file format for installing apps.,Basic
53,Android,Dalvik,The discontinued process virtual machine in Android.,Hard
54,Android,ART,Android Runtime which replaced Dalvik for better performance.,Hard
55,Android,Context,The handle to the system providing access to resources.,Hard
56,Android,SharedPrefs,Store small collections of key-value pairs persistently.,Basic
57,Android,Notification,A message you display to the user outside of your app UI.,Basic
58,Android,Toast,A small popup message that disappears after a timeout.,Basic
59,Android,SnackBar,Lightweight feedback about an operation with optional action.,Basic
60,Android,RecyclerView,A flexible view for providing a limited window into a large data set.,Hard
61,Database,Normalization1NF,Eliminating duplicate columns and ensuring atomicity.,Intermediate
62,Database,Normalization2NF,Removing subsets of data that apply to multiple rows.,Hard
63,Database,Normalization3NF,Removing columns that are not dependent on the primary key.,Hard
64,Database,Indexing,A way to optimize performance by minimizing disk access.,Intermediate
65,Database,Concurrency,Managing multiple simultaneous transactions without conflict.,Hard
66,Database,Deadlock,A situation where two transactions wait for each other to finish.,Hard
67,Database,Trigger,A procedural code that automatically executes on data changes.,Hard
68,Database,QueryOptimization,The process of choosing the most efficient way to execute a query.,Hard
